"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","demo.note","tag.pulled","problem.tag","phenology","plantid","trt","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1","no.seeds","pseeds"
2017,1,3608,3,"D","2",16.5,16.5,0,NA,2016,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Vegetative",0,NA,"3",1,1,1,0,NA,NA
2018,1,3608,3,"D","3",8,13,1,"2",2016,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,"3",1,1,1,0,NA,NA
2019,1,3608,3,"D","3",11,11.5,1,"2",2016,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,"0",NA,NA,1,1,NA,NA
2020,1,3608,3,"D","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3608_1","irrigated","dormant",1,"Dormant",NA,NA,"4",1,1,1,1,NA,NA
2021,1,3608,3,"D","4",15.5,13,1,"1.5",2016,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,"5",3,1,1,NA,0,0
2022,1,3608,3,"D","5",40.5,13,3,"10",2016,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,"6",3,1,1,1,248,1
2023,1,3608,3,"D","6",33,17,3,"9.5",2016,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,"0",NA,NA,1,1,116,1
2024,1,3608,3,"D","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3608_1","irrigated","dormant",1,"Dormant",NA,NA,"2",1,1,1,1,NA,NA
2025,1,3608,3,"D","2",27,19,1,"3",NA,"Leaf length and umble diameter are switched on datasheet",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,"4",2,1,1,NA,4,1
2026,1,3608,3,"D","4",32,19,2,"6.5",NA,"",NA,NA,NA,"3608_1","irrigated","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,44,1
2021,9,3609,11,"P","2",NA,18,0,NA,2021,"",NA,NA,NA,"3609_9","irrigated","alive",1,"Vegetative",0,NA,"3",0,0,1,NA,NA,NA
2022,9,3609,11,"P","3",NA,19,0,NA,2021,"",NA,NA,NA,"3609_9","irrigated","alive",1,"Vegetative",0,NA,"3",1,1,1,0,NA,NA
2023,9,3609,11,"P","3",58,24,1,"6",2021,"11E (div)",NA,NA,NA,"3609_9","irrigated","alive",1,"Flowering",1,NA,"3",1,1,1,0,NA,NA
2024,9,3609,11,"P","3",46.5,22.5,1,"4",NA,"11E (div); phen: flp 17 may",NA,NA,NA,"3609_9","irrigated","alive",1,"Flowering",1,NA,"2",1,1,1,1,NA,NA
2025,9,3609,11,"P","2",40,23,1,"5.5",NA,"11E (div)",NA,NA,NA,"3609_9","irrigated","alive",1,"Flowering",1,NA,"2",0,0,1,1,NA,NA
2026,9,3609,11,"P","2",NA,24,0,NA,NA,"11E (div)",NA,NA,NA,"3609_9","irrigated","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1,NA,NA
2016,1,3610,0,"C","6",42,14.1,5,"5.8",2016,"",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"8",3,1,1,NA,NA,NA
2017,1,3610,0,"C","8",30,22.8,3,"4.5",2016,"",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"6",3,1,1,1,NA,NA
2018,1,3610,0,"C","6",16.5,16,3,"5",2016,"",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"8",6,1,1,1,NA,NA
2019,1,3610,0,"C","8",26.5,15,6,"2.5",2016,"",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"3",1,1,1,1,NA,NA
2020,1,3610,0,"C","3",17.5,13.4,1,"3.4",2016,"",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"4",3,1,1,1,NA,NA
2021,1,3610,0,"C","4",31,18,3,"12",2016,"SOS = see other sheet",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"11",6,1,1,1,0,0
2022,1,3610,0,"C","11",60,20,6,"27.5",2016,"outside plot",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"8",6,1,1,1,240,1
2023,1,3610,0,"C","8",42,22,6,"29",2016,"",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"15",8,1,1,1,318,1
2024,1,3610,0,"C","15",51,23.5,8,"34.5",NA,"only K2:K50first two umbels in phen",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"6",3,1,1,1,20,1
2025,1,3610,0,"C","6",38,24,3,"8.5",NA,"outside plot",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,"4",3,1,1,1,NA,NA
2026,1,3610,0,"C","4",55,29,3,"12.5",NA,"outside plot. Youngest umbel dead",NA,NA,NA,"3610_1","irrigated","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,64,1
2016,1,3611,7,"I","5",23,8.4,2,"1.9",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"3",0,0,1,NA,NA,NA
2017,1,3611,7,"I","3",13.6,7.9,0,NA,2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Vegetative",0,NA,"4",1,1,1,1,NA,NA
2018,1,3611,7,"I","4",19,19,1,"2.8",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"3",2,1,1,0,NA,NA
2019,1,3611,7,"I","3",11,8,2,"2",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"3",2,1,1,1,NA,NA
2020,1,3611,7,"I","3",32,9.3,2,"5.4",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"3",1,1,1,1,NA,NA
2021,1,3611,7,"I","3",18.5,13,1,"3",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"3",2,1,1,1,0,0
2022,1,3611,7,"I","3",39,13,2,"7.5",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"3",2,1,1,1,38,1
2023,1,3611,7,"I","3",37,12,2,"9",2016,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"2",1,1,1,1,58,1
2024,1,3611,7,"I","2",36,11,1,"3.5",NA,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Flowering",1,NA,"2",0,0,1,1,0,0
2025,1,3611,7,"I","2",NA,20,0,NA,NA,"",NA,NA,NA,"3611_1","irrigated","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,1,NA,NA
2026,1,3611,7,"I","0",NA,NA,NA,NA,NA,"NP. Closer to 5I",NA,NA,NA,"3611_1","irrigated",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2018,15,3612,12,"E","3",9,9,2,"1.7",2018,"",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,"0",NA,NA,1,NA,NA,NA
2019,15,3612,12,"E","0",NA,NA,NA,NA,2018,"no plant",NA,NA,NA,"3612_15","drought","dormant",1,"Dormant",NA,NA,"1",0,0,1,1,NA,NA
2020,15,3612,12,"E","1",NA,15.2,0,NA,2018,"",NA,NA,NA,"3612_15","drought","alive",1,"Vegetative",0,NA,"1",1,1,1,NA,NA,NA
2021,15,3612,12,"E","1",8.5,10,1,"1.5",2018,"",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,"2",2,1,1,0,0,0
2022,15,3612,12,"E","2",29,14,2,"6",2018,"",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,"4",3,1,1,1,0,0
2023,15,3612,12,"E","4",25.5,13,3,"12",2018,"",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,"4",3,1,1,1,88,1
2024,15,3612,12,"E","4",16,16.5,3,"6.5",NA,"",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,"2",1,1,1,1,0,0
2025,15,3612,12,"E","2",NA,8.5,1,NA,NA,"umbel dead",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,"3",2,1,1,1,NA,NA
2026,15,3612,12,"E","3",13,17,2,"3.5",NA,"",NA,NA,NA,"3612_15","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
2017,13,3164,17,"C","3",17,13,1,"2.5",2017,"",NA,NA,NA,"3614_13","control","alive",1,"Flowering",1,NA,"2",0,0,1,NA,NA,NA
2018,13,3164,17,"C","2",14,14,0,NA,2017,"tag is 3614",NA,NA,NA,"3614_13","control","alive",1,"Vegetative",0,NA,"3",1,1,1,1,NA,NA
2019,13,3164,17,"C","3",14,13,1,"2",2017,"tag says 3614",NA,NA,NA,"3614_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,1,0,NA,NA
2020,13,3164,17,"C",NA,NA,NA,NA,NA,2017,"tag says 3614; NS",NA,NA,NA,"3614_13","control",NA,1,NA,NA,NA,"2",0,0,1,1,NA,NA
2021,13,3164,17,"C","2",NA,17.5,0,NA,2017,"",NA,NA,NA,"3614_13","control","alive",1,"Vegetative",0,NA,"2",1,1,1,NA,NA,NA
2022,13,3164,17,"C","2",28.5,15,1,"5",2017,"tag says 3614",NA,NA,NA,"3614_13","control","alive",1,"Flowering",1,NA,"1",1,1,1,0,66,1
2023,13,3164,17,"C","1",28.5,12,1,"4",2017,"tag says 3614",NA,1,NA,"3614_13","control","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2024,13,3164,17,"C","1",NA,15.5,0,NA,NA,"",NA,NA,NA,"3614_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2025,13,3164,17,"C","2",NA,19,0,NA,NA,"tag is 3614",NA,1,NA,"3614_13","control","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2026,13,3164,17,"C",NA,NA,NA,NA,NA,NA,"NPNT, tag is 3614",NA,NA,NA,"3614_13","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2018,15,3615,12,"F","3",15.5,13.5,1,"2.5",2018,"",NA,NA,NA,"3615_15","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,NA,NA,NA
2019,15,3615,12,"F",NA,NA,NA,NA,NA,2018,"NPNT",NA,NA,NA,"3615_15","drought",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2020,15,3615,12,"F",NA,NA,NA,NA,NA,2018,"NS",NA,NA,NA,"3615_15","drought",NA,1,NA,NA,NA,"1",0,0,1,NA,NA,NA
2021,15,3615,12,"F","1",NA,14.5,0,NA,2021,"new tag for 3615",NA,NA,NA,"3615_15","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,NA,NA,NA
2022,15,3615,12,"F","0",NA,NA,NA,NA,2021,"New tag for 3615 in 2021, but found it this year. Pulled this tag",1,1,NA,"3615_15","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2017,5,3615,11,"J","3",21.5,18.5,1,"3.5",2017,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"3",1,1,1,NA,NA,NA
2018,5,3615,11,"J","3",20,18,1,"3.7",2017,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"2",1,1,1,1,NA,NA
2019,5,3615,11,"J","2",19,13,1,"3",2017,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,NA,NA,NA,1,1,NA,NA
2020,5,3615,11,"J",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3615_5","drought",NA,1,NA,NA,NA,"1",1,1,1,1,NA,NA
2021,5,3615,11,"J","1",NA,17,1,NA,2017,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"3",2,1,1,NA,0,0
2022,5,3615,11,"J","3",29.5,20,2,"7",2017,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"4",2,1,1,1,64,1
2023,5,3615,11,"J","4",41,17.5,2,"14",2017,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"4",2,1,1,1,NA,NA
2024,5,3615,11,"J","4",29,19.5,2,"5.5",NA,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"2",1,1,1,1,36,1
2025,5,3615,11,"J","2",21.5,19,1,"3",NA,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,"3",1,1,1,1,NA,NA
2026,5,3615,11,"J","3",26,18.5,1,"3.5",NA,"",NA,NA,NA,"3615_5","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
2016,13,3616,10,"B","6",13,4.8,1,"1.6",2016,"",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,"2",0,0,1,NA,NA,NA
2017,13,3616,10,"B","2",12,12,0,NA,2016,"",NA,NA,NA,"3616_13","control","alive",1,"Vegetative",0,NA,"0",NA,NA,1,1,NA,NA
2018,13,3616,10,"B","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3616_13","control","dormant",1,"Dormant",NA,NA,"2",1,1,1,0,NA,NA
2019,13,3616,10,"B","2",4.5,13,1,"1",2016,"aborted umble",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,1,NA,NA,NA
2020,13,3616,10,"B",NA,NA,NA,NA,NA,2016,"NS",NA,NA,NA,"3616_13","control",NA,1,NA,NA,NA,"3",1,1,1,1,NA,NA
2021,13,3616,10,"B","3",19.5,10.5,1,"3.5",2016,"",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,"2",2,1,1,NA,0,0
2022,13,3616,10,"B","2",36,14,2,"7",2016,"",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,"3",3,1,1,1,38,1
2023,13,3616,10,"B","3",48,15,3,"7",2016,"2 umbels eaten",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,"3",2,1,1,1,102,1
2024,13,3616,10,"B","3",31.5,11,2,"7.5",NA,"",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,"2",2,1,1,1,22,1
2025,13,3616,10,"B","2",28.5,17,2,"5.5",NA,"",NA,NA,NA,"3616_13","control","alive",1,"Flowering",1,NA,"0",NA,NA,NA,1,NA,NA
2026,13,3616,10,"B","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3616_13","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2016,13,3617,19,"G","6",23,5.5,2,"4",2016,"",NA,NA,NA,"3617_13","control","alive",1,"Flowering",1,NA,"2",1,1,1,NA,NA,NA
2017,13,3617,19,"G","2",15,14.5,1,"1.7",2016,"",NA,NA,NA,"3617_13","control","alive",1,"Flowering",1,NA,"0",NA,NA,1,1,NA,NA
2018,13,3617,19,"G","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3617_13","control","dormant",1,"Dormant",NA,NA,"3",0,0,1,1,NA,NA
2019,13,3617,19,"G","3",NA,14,0,NA,2016,"",NA,NA,NA,"3617_13","control","alive",1,"Vegetative",0,NA,NA,NA,NA,1,NA,NA,NA
2020,13,3617,19,"G",NA,NA,NA,NA,NA,2016,"NS",NA,NA,NA,"3617_13","control",NA,1,NA,NA,NA,"2",0,0,1,0,NA,NA
2021,13,3617,19,"G","2",NA,14,0,NA,2016,"",NA,NA,NA,"3617_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2022,13,3617,19,"G","2",NA,8,0,NA,2016,"",NA,NA,NA,"3617_13","control","alive",1,"Vegetative",0,NA,"4",2,1,1,0,NA,NA
2023,13,3617,19,"G","4",41,18.5,2,"12",2016,"",NA,NA,NA,"3617_13","control","alive",1,"Flowering",1,NA,"1",0,0,1,0,NA,NA
2024,13,3617,19,"G","1",NA,16,0,NA,NA,"",NA,NA,NA,"3617_13","control","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2025,13,3617,19,"G","2",NA,20,0,NA,NA,"",NA,NA,NA,"3617_13","control","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,0,NA,NA
2026,13,3617,19,"G","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3617_13","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2016,2,3619,3,"A","4",13.5,6.3,1,"2.4",2016,"",NA,NA,NA,"3619_2","control","alive",1,"Flowering",1,NA,"1",0,0,1,NA,NA,NA
2017,2,3619,3,"A","1",9,9,0,NA,2016,"",NA,NA,NA,"3619_2","control","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2018,2,3619,3,"A","1",11,11,0,NA,2016,"",NA,NA,NA,"3619_2","control","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2019,2,3619,3,"A","1",NA,8,0,NA,2016,"",NA,NA,NA,"3619_2","control","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,2,3619,3,"A","1",NA,4.7,0,NA,2016,"",NA,NA,NA,"3619_2","control","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2021,2,3619,3,"A",NA,NA,NA,NA,NA,2016,"NPNT",NA,NA,NA,"3619_2","control",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2022,2,3619,3,"A",NA,NA,NA,NA,NA,2016,"NPNT",NA,NA,NA,"3619_2","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,13,3620,12,"J","3",11.5,5.1,0,NA,2016,"",NA,NA,NA,"3620_13","control","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2017,13,3620,12,"J","1",9.5,9.5,0,NA,2016,"",NA,NA,NA,"3620_13","control","alive",1,"Vegetative",0,NA,"3",1,1,1,0,NA,NA
2018,13,3620,12,"J","3",10.5,6.5,1,"2.3",2016,"",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,"4",2,1,1,0,NA,NA
2019,13,3620,12,"J","4",21,9,2,"3",2016,"",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,1,1,NA,NA
2020,13,3620,12,"J",NA,NA,NA,NA,NA,2016,"NS",NA,NA,NA,"3620_13","control",NA,1,NA,NA,NA,"2",1,1,1,1,NA,NA
2021,13,3620,12,"J","2",21.5,13,1,"3.5",2016,"",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,"3",2,1,1,NA,8,1
2022,13,3620,12,"J","3",35.5,11,2,"7",2016,"",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,"5",3,1,1,1,84,1
2023,13,3620,12,"J","5",7,13,3,"14.5",2016,"",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,"3",2,1,1,1,NA,NA
2024,13,3620,12,"J","3",26.5,15,2,"4.5",NA,"moss clump",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,"3",2,1,1,1,18,1
2025,13,3620,12,"J","3",25.5,15,2,"6",NA,"moss clump",NA,NA,NA,"3620_13","control","alive",1,"Flowering",1,NA,"0",NA,NA,NA,1,NA,NA
2026,13,3620,12,"J","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3620_13","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
2021,15,3621,18,"A","3",NA,11,0,NA,2021,"",NA,NA,NA,"3621_15","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,NA,NA,NA
2022,15,3621,18,"A","0",NA,NA,NA,NA,2021,"NP",NA,NA,NA,"3621_15","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2021,5,3622,5,"D","1",NA,10,0,NA,2021,"",NA,NA,NA,"3622_5","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2022,5,3622,5,"D","1",NA,15,0,NA,2021,"",NA,NA,NA,"3622_5","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2023,5,3622,5,"D","1",NA,13,0,NA,2021,"",NA,NA,NA,"3622_5","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,1,0,NA,NA
2024,5,3622,5,"D","0",NA,NA,NA,NA,2021,"NP; may be one of 3622's two stems",NA,NA,NA,"3622_5","drought","dormant",1,"Dormant",NA,NA,"2",0,0,1,0,0,0
2025,5,3622,5,"D","2",NA,11.5,0,NA,2021,"",NA,NA,NA,"3622_5","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2026,5,3622,5,"D","2",NA,11.5,0,NA,2021,"",NA,NA,NA,"3622_5","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2017,5,3622,5,"D","2",18,13,2,"3",2017,"",NA,NA,NA,"3622_5_senior","drought","alive",1,"Flowering",1,NA,"1",0,0,1,NA,NA,NA
2018,5,3622,5,"D","1",7.5,7.5,0,NA,2017,"",NA,NA,NA,"3622_5_senior","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,0,1,NA,NA
2019,5,3622,5,"D","0",NA,NA,NA,NA,2017,"no plant",NA,NA,NA,"3622_5_senior","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2016,2,3623,6,"E","6",11.5,8.5,0,NA,2016,"",NA,NA,NA,"3623_2","control","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2017,2,3623,6,"E","2",11,11,0,NA,2016,"",NA,NA,NA,"3623_2","control","alive",1,"Vegetative",0,NA,"3",0,0,1,0,NA,NA
2018,2,3623,6,"E","3",11.5,11.5,0,NA,2016,"",NA,NA,NA,"3623_2","control","alive",1,"Vegetative",0,NA,"0",NA,NA,0,0,NA,NA
2019,2,3623,6,"E","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3623_2","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2016,3,3624,0,"D","6",19.6,6.2,2,"3.1",2016,"2 stalks",NA,NA,NA,"3624_3","control","alive",1,"Flowering",1,NA,"6",3,1,1,NA,NA,NA
2017,3,3624,0,"D","6",25,12,3,"5",2016,"",NA,NA,NA,"3624_3","control","alive",1,"Flowering",1,NA,"2",1,1,1,1,NA,NA
2018,3,3624,0,"D","2",18,15.5,1,"3.3",2016,"",NA,NA,NA,"3624_3","control","alive",1,"Flowering",1,NA,"3",1,1,1,1,NA,NA
2019,3,3624,0,"D","3",8,14,1,"3",2016,"",NA,NA,NA,"3624_3","control","alive",1,"Flowering",1,NA,"0",NA,NA,1,1,NA,NA
2020,3,3624,0,"D","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3624_3","control","dormant",1,"Dormant",NA,NA,"2",0,0,1,1,NA,NA
2021,3,3624,0,"D","2",NA,19.5,0,NA,2016,"",NA,NA,NA,"3624_3","control","alive",1,"Vegetative",0,NA,"3",1,1,1,NA,NA,NA
2022,3,3624,0,"D","3",40,18,1,"3",2016,"",NA,NA,NA,"3624_3","control","alive",1,"Flowering",1,NA,"2",1,1,1,0,48,1
2023,3,3624,0,"D","2",40,19,1,"4.5",2016,"",NA,NA,NA,"3624_3","control","alive",1,"Flowering",1,NA,"2",0,0,1,1,32,1
2024,3,3624,0,"D","2",NA,23,0,NA,NA,"",NA,NA,NA,"3624_3","control","alive",1,"Vegetative",0,NA,"0",NA,NA,0,1,NA,NA
2025,3,3624,0,"D","0",NA,NA,NA,NA,NA,"NP, tag in dactylis",NA,NA,NA,"3624_3","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2016,14,3626,3,"A","3",12.5,5.9,0,NA,2016,"",NA,NA,NA,"3626_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2017,14,3626,3,"A","1",11,11,0,NA,2016,"",NA,NA,NA,"3626_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2018,14,3626,3,"A","1",16.5,16.5,0,NA,2016,"",NA,NA,NA,"3626_14","drought","alive",1,"Vegetative",0,NA,"2",2,1,1,0,NA,NA
2019,14,3626,3,"A","2",17,9,2,"3",2016,"",NA,NA,NA,"3626_14","drought","alive",1,"Flowering",1,NA,"0",NA,NA,0,0,NA,NA
2020,14,3626,3,"A","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3626_14","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2016,1,3627,7,"I","3",15.5,11.2,0,NA,2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Vegetative",0,NA,"3",0,0,1,NA,NA,NA
2017,1,3627,7,"I","3",10,9,0,NA,2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Vegetative",0,NA,"2",1,1,1,0,NA,NA
2018,1,3627,7,"I","2",13,14.5,1,"2",2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Flowering",1,NA,"1",1,1,1,0,NA,NA
2019,1,3627,7,"I","1",9,8,1,"2",2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Flowering",1,NA,"2",0,0,1,1,NA,NA
2020,1,3627,7,"I","2",NA,13.1,0,NA,2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2021,1,3627,7,"I","1",NA,18,0,NA,2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Vegetative",0,NA,"3",2,1,1,0,NA,NA
2022,1,3627,7,"I","3",38,15,2,"7.5",2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Flowering",1,NA,"3",1,1,1,0,72,1
2023,1,3627,7,"I","3",29,15,1,"4",2016,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Flowering",1,NA,"0",NA,NA,1,1,0,0
2024,1,3627,7,"I","0",NA,NA,NA,NA,NA,"NP; in phen but can't find",NA,NA,NA,"3627_1","irrigated","dormant",1,"Dormant",NA,NA,"1",0,0,1,1,0,0
2025,1,3627,7,"I","1",NA,20,0,NA,NA,"",NA,NA,NA,"3627_1","irrigated","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,NA,NA,NA
2026,1,3627,7,"I","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3627_1","irrigated",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2016,13,3628,17,"D","3",23.5,6.2,2,"2.1",2016,"2 stalks",NA,NA,NA,"3628_13","control","alive",1,"Flowering",1,NA,"2",1,1,1,NA,NA,NA
2017,13,3628,17,"D","2",21,16.5,1,"3",2016,"",NA,NA,NA,"3628_13","control","alive",1,"Flowering",1,NA,"3",0,0,1,1,NA,NA
2018,13,3628,17,"D","3",15,15,0,NA,2016,"",NA,NA,NA,"3628_13","control","alive",1,"Vegetative",0,NA,"2",1,1,1,1,NA,NA
2019,13,3628,17,"D","2",19.5,15.5,1,"3",2016,"",NA,NA,NA,"3628_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,1,0,NA,NA
2020,13,3628,17,"D",NA,NA,NA,NA,NA,2016,"NS",NA,NA,NA,"3628_13","control",NA,1,NA,NA,NA,"7",1,1,1,1,NA,NA
2021,13,3628,17,"D","7",11,12,1,"1",2016,"",NA,NA,NA,"3628_13","control","alive",1,"Flowering",1,NA,"4",2,1,1,NA,0,0
2022,13,3628,17,"D","4",27,15.5,2,"7",2016,"",NA,NA,NA,"3628_13","control","alive",1,"Flowering",1,NA,"4",3,1,1,1,146,1
2023,13,3628,17,"D","4",27,14.5,3,"12",2016,"",NA,NA,NA,"3628_13","control","alive",1,"Flowering",1,NA,"2",0,0,1,1,NA,NA
2024,13,3628,17,"D","2",NA,17,0,NA,NA,"accidentally pulled leaf",NA,NA,NA,"3628_13","control","alive",1,"Vegetative",0,NA,"4",0,0,1,1,NA,NA
