"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","demo.note","plantid","trt","death_year","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1"
2021,4,3011,3,"H",NA,NA,NA,NA,NA,"NPNT","3011_4","irrigated",2022,NA,NA,NA,NA,NA,"0",NA,NA,0,0
2022,4,3011,3,"H","0",NA,NA,NA,NA,"NP. Tag pulled","3011_4","irrigated",2022,"dead",0,"Dead",NA,NA,NA,NA,NA,NA,NA
2021,1,3012,17,"G","1",NA,10,0,NA,"","3012_1","irrigated",NA,"alive",1,"Vegetative",0,NA,"1",0,0,1,NA
2022,1,3012,17,"G","1",NA,20,0,NA,"","3012_1","irrigated",NA,"alive",1,"Vegetative",0,NA,"1",1,1,1,0
2023,1,3012,17,"G","1",27,11.5,1,"3","","3012_1","irrigated",NA,"alive",1,"Flowering",1,NA,"1",1,1,1,0
2024,1,3012,17,"G","1",23.5,9,1,"2","","3012_1","irrigated",NA,"alive",1,"Flowering",1,NA,"0",NA,NA,NA,1
2025,1,3012,17,"G","0",NA,NA,NA,NA,"NP","3012_1","irrigated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2017,2,3013,3,"I","1",NA,9.5,0,NA,"","3013_2","control",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,NA
2018,2,3013,3,"I","2",13.5,13.5,0,NA,"","3013_2","control",NA,"alive",1,"Vegetative",0,NA,"1",0,0,1,0
2019,2,3013,3,"I","1",NA,8.5,0,NA,"","3013_2","control",NA,"alive",1,"Vegetative",0,NA,"1",0,0,1,0
2020,2,3013,3,"I","1",NA,9.8,0,NA,"","3013_2","control",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,0
2021,2,3013,3,"I","2",NA,12,0,NA,"","3013_2","control",NA,"alive",1,"Vegetative",0,NA,"1",1,1,1,0
2022,2,3013,3,"I","1",27,13,1,"3","","3013_2","control",NA,"alive",1,"Flowering",1,NA,"1",1,1,1,0
2023,2,3013,3,"I","1",13,23,1,NA,"dead umbel. Did not track phenology.","3013_2","control",NA,"alive",1,"Flowering",1,NA,"2",1,1,1,1
2024,2,3013,3,"I","2",30.5,12.5,1,"4","","3013_2","control",NA,"alive",1,"Flowering",1,NA,"0",NA,NA,NA,1
2025,2,3013,3,"I","0",NA,NA,NA,NA,"NP","3013_2","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2016,15,3014,9,"I","8",NA,10.2,2,"1.5","","3014_15","drought",NA,"alive",1,"Flowering",1,NA,"8",3,1,1,NA
2017,15,3014,9,"I","8",NA,10,3,"2.5","","3014_15","drought",NA,"alive",1,"Flowering",1,NA,"3",0,0,1,1
2018,15,3014,9,"I","3",16,16,0,NA,"","3014_15","drought",NA,"alive",1,"Vegetative",0,NA,"4",0,0,1,1
2019,15,3014,9,"I","4",NA,13.5,0,NA,"","3014_15","drought",NA,"alive",1,"Vegetative",0,NA,"2",0,0,1,0
2020,15,3014,9,"I","2",NA,12.7,0,NA,"","3014_15","drought",NA,"alive",1,"Vegetative",0,NA,"5",2,1,1,0
2021,15,3014,9,"I","5",10,11,2,"SOS","","3014_15","drought",NA,"alive",1,"Flowering",1,NA,"6",2,1,1,0
2022,15,3014,9,"I","6",19.5,14,2,"SOS","","3014_15","drought",NA,"alive",1,"Flowering",1,NA,"7",5,1,1,1
2023,15,3014,9,"I","7",23,14,5,"SOS","","3014_15","drought",NA,"alive",1,"Flowering",1,NA,"5",4,1,1,1
2024,15,3014,9,"I","5",24.5,15.5,4,"5","two umbels are buds; counted not measured","3014_15","drought",NA,"alive",1,"Flowering",1,NA,"0",NA,NA,NA,1
2025,15,3014,9,"I","0",NA,NA,NA,NA,"NP","3014_15","drought",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2017,3,3015,0,"F","2",NA,12.5,3,"4.5","","3015_3","control",NA,"alive",1,"Flowering",1,NA,"3",1,1,1,NA
